GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,Rfc4515Parser.NormalContext,46,0,6,0,11,0,10,0,7,0
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,Rfc4515Parser.FiltercompContext,59,0,6,0,13,0,12,0,9,0
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,Rfc4515Parser.ValueencodingContext,45,0,6,0,11,0,10,0,7,0
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,Rfc4515Lexer,314,0,8,0,30,0,13,0,9,0
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,Rfc4515Parser.LeadkeycharContext,40,0,6,0,10,0,9,0,6,0
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,Rfc4515Parser.FiltertypeContext,41,0,6,0,10,0,9,0,6,0
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,Rfc4515Parser.OptionsContext,59,0,6,0,14,0,12,0,9,0
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,Rfc4515Parser.Utf1subsetContext,75,0,6,0,17,0,16,0,13,0
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,Rfc4515Parser.SimpleContext,53,0,6,0,12,0,11,0,8,0
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,Rfc4515Parser,2212,0,71,0,486,0,76,0,36,0
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,SimpleSearchFilter,25,0,0,0,9,0,5,0,5,0
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,SearchFilterParseException,5,0,0,0,2,0,1,0,1,0
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,Rfc4515Parser.ItemContext,41,0,6,0,10,0,9,0,6,0
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,Rfc4515BaseListener,57,0,0,0,55,0,55,0,55,0
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,Rfc4515Parser.FilterContext,51,0,6,0,12,0,11,0,8,0
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,Rfc4515Parser.AttributedescriptionContext,47,0,6,0,11,0,10,0,7,0
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,Rfc4515Parser.KeycharContext,55,0,6,0,13,0,12,0,9,0
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,Rfc4515Parser.NotContext,46,0,6,0,11,0,10,0,7,0
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,Rfc4515Parser.AttributetypeContext,41,0,6,0,10,0,9,0,6,0
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,AttributeDescription,13,0,0,0,5,0,3,0,3,0
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,SearchFilterEvaluator,13,0,0,0,3,0,2,0,2,0
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,SearchFilterParser,244,0,20,0,52,0,26,0,16,0
p2-tooling/minimal-ldap-parser,com.github.pms1.ldap,OrSearchFilter,13,0,0,0,5,0,3,0,3,0
