GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tppt-maven-plugin/maven-equinox-runner,com.github.pms1.tppt,EquinoxRunnerFactory,8,0,0,0,2,0,2,0,2,0
tppt-maven-plugin/maven-equinox-runner,com.github.pms1.tppt,EquinoxRunner.CopyThread,104,0,14,0,22,0,9,0,2,0
tppt-maven-plugin/maven-equinox-runner,com.github.pms1.tppt,EquinoxRunnerFactory.EquinoxRunnerBuilderImpl,107,0,6,0,26,0,8,0,5,0
tppt-maven-plugin/maven-equinox-runner,com.github.pms1.tppt,TychoArtifactUnpacker,166,0,16,0,24,0,10,0,2,0
tppt-maven-plugin/maven-equinox-runner,com.github.pms1.tppt,TychoUnpackLocker.new TychoUnpackLocker.Lock() {...},26,0,0,0,7,0,2,0,2,0
tppt-maven-plugin/maven-equinox-runner,com.github.pms1.tppt,EquinoxRunner,544,0,65,0,94,0,46,0,8,0
tppt-maven-plugin/maven-equinox-runner,com.github.pms1.tppt,TychoUnpackLocker,97,0,4,0,13,0,5,0,3,0
tppt-maven-plugin/maven-equinox-runner,com.github.pms1.tppt,EquinoxRunner.Plugin,3,0,0,0,1,0,1,0,1,0
tppt-maven-plugin/tppt-mirror-application,com.github.pms1.tppt.mirror,MyTransport.RepoMirror,37,0,0,0,7,0,2,0,2,0
tppt-maven-plugin/tppt-mirror-application,com.github.pms1.tppt.mirror,MirrorSpec.Filter,3,0,0,0,1,0,1,0,1,0
tppt-maven-plugin/tppt-mirror-application,com.github.pms1.tppt.mirror,Activator,11,0,0,0,6,0,4,0,4,0
tppt-maven-plugin/tppt-mirror-application,com.github.pms1.tppt.mirror,MirrorSpec.OfflineType,50,0,0,0,3,0,4,0,4,0
tppt-maven-plugin/tppt-mirror-application,com.github.pms1.tppt.mirror,MirrorSpec.MapAdapter.Entry,3,0,0,0,1,0,1,0,1,0
tppt-maven-plugin/tppt-mirror-application,com.github.pms1.tppt.mirror,MirrorApplication.new IProgressMonitor() {...},15,0,0,0,10,0,9,0,9,0
tppt-maven-plugin/tppt-mirror-application,com.github.pms1.tppt.mirror,MyTransport,1062,0,135,0,185,0,86,0,15,0
tppt-maven-plugin/tppt-mirror-application,com.github.pms1.tppt.mirror,MirrorSpec.MapAdapter,46,0,0,0,7,0,7,0,7,0
tppt-maven-plugin/tppt-mirror-application,com.github.pms1.tppt.mirror,MirrorSpec.StatsType,50,0,0,0,3,0,4,0,4,0
tppt-maven-plugin/tppt-mirror-application,com.github.pms1.tppt.mirror,MirrorApplication.Type,70,0,0,0,3,0,4,0,4,0
tppt-maven-plugin/tppt-mirror-application,com.github.pms1.tppt.mirror,MirrorSpec,3,0,0,0,1,0,1,0,1,0
tppt-maven-plugin/tppt-mirror-application,com.github.pms1.tppt.mirror,MirrorSpec.PathAdapter,11,0,0,0,3,0,3,0,3,0
tppt-maven-plugin/tppt-mirror-application,com.github.pms1.tppt.mirror,MirrorApplication,1282,0,145,0,219,0,97,0,21,0
tppt-maven-plugin/tppt-mirror-application,com.github.pms1.tppt.mirror.jaxb,Mirror,14,0,0,0,2,0,2,0,2,0
tppt-maven-plugin/tppt-mirror-application,com.github.pms1.tppt.mirror.jaxb,Mirrors,3,0,0,0,1,0,1,0,1,0
tppt-maven-plugin/p2-tooling,com.github.pms1.tppt.p2.jaxb.metadata,Change,17,0,0,0,7,0,5,0,5,0
tppt-maven-plugin/p2-tooling,com.github.pms1.tppt.p2.jaxb.metadata,License,24,0,0,0,10,0,7,0,7,0
tppt-maven-plugin/p2-tooling,com.github.pms1.tppt.p2.jaxb.metadata,Copyright,24,0,0,0,10,0,7,0,7,0
tppt-maven-plugin/p2-tooling,com.github.pms1.tppt.p2.jaxb.metadata,Provides,21,0,2,0,7,0,5,0,4,0
tppt-maven-plugin/p2-tooling,com.github.pms1.tppt.p2.jaxb.metadata,Update,38,0,0,0,16,0,11,0,11,0
tppt-maven-plugin/p2-tooling,com.github.pms1.tppt.p2.jaxb.metadata,Unit,136,0,0,0,58,0,39,0,39,0
tppt-maven-plugin/p2-tooling,com.github.pms1.tppt.p2.jaxb.metadata,Instructions,21,0,2,0,7,0,5,0,4,0
tppt-maven-plugin/p2-tooling,com.github.pms1.tppt.p2.jaxb.metadata,PatchScope,10,0,0,0,4,0,3,0,3,0
tppt-maven-plugin/p2-tooling,com.github.pms1.tppt.p2.jaxb.metadata,Provided,24,0,0,0,10,0,7,0,7,0
tppt-maven-plugin/p2-tooling,com.github.pms1.tppt.p2.jaxb.metadata,RepositoryReference,31,0,0,0,13,0,9,0,9,0
tppt-maven-plugin/p2-tooling,com.github.pms1.tppt.p2.jaxb.metadata,Instruction,24,0,0,0,10,0,7,0,7,0
tppt-maven-plugin/p2-tooling,com.github.pms1.tppt.p2.jaxb.metadata,Requires,21,0,2,0,7,0,5,0,4,0
tppt-maven-plugin/p2-tooling,com.github.pms1.tppt.p2.jaxb.metadata,Required,80,0,0,0,34,0,23,0,23,0
tppt-maven-plugin/p2-tooling,com.github.pms1.tppt.p2.jaxb.metadata,Touchpoint,17,0,0,0,7,0,5,0,5,0
tppt-maven-plugin/p2-tooling,com.github.pms1.tppt.p2.jaxb.metadata,ObjectFactory,122,0,0,0,30,0,29,0,29,0
tppt-maven-plugin/p2-tooling,com.github.pms1.tppt.p2.jaxb.metadata,MetadataRepository,52,0,0,0,22,0,15,0,15,0
tppt-maven-plugin/p2-tooling,com.github.pms1.tppt.p2.jaxb.metadata,References,21,0,2,0,7,0,5,0,4,0
